Pomodoro Sequence,Total Usage Hours,Rating
"25,5,25,5,25,30",0,3
"25,5,25,5,25,30",1,4
"25,5,25,5,25,30",3,5
"25,5,25,5,25,30",6,4
"25,5,25,5,25,30",8,5
"25,5,25,5,25,30",10,4
"25,5,25,5,25,30",30,5
"45,5,45,5,45,60",35,4
"45,5,45,5,45,60",38,4
"45,5,45,5,45,60",32,4
"45,5,45,5,45,60",39,4
"45,5,45,5,45,60",40,4
"45,5,45,5,45,60",38,3
"45,5,45,5,45,60",31,2
"45,5,45,5,45,60",39,2
"45,5,45,5,45,60",42,5
"60,10,60,10,60,90",42,3
"60,10,60,10,60,90",45,4
"60,10,60,10,60,90",48,5
"60,10,60,10,60,90",50,4
"60,10,60,10,60,90",52,4
"60,10,60,10,60,90",54,4
"60,10,60,10,60,90",58,5
"60,10,60,10,60,90",60,5
"60,10,60,10,60,90",62,5
"60,10,60,10,60,90",65,5


